1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, 275494477.586098
1968, 343771972.993855
1969, 339913867.092785
1970, 359772315.102198
1971, 395218628.920694
1972, 486617280.255549
1973, 563683703.304705
1974, 538747339.956033
1975, 830710615.179954
1976, 939228017.24779
1977, 1049838548.10919
1978, 1222702572.84699
1979, 1595422955.64433
1980, 1759691186.39993
1981, 1538972424.36635
1982, 1333754224.99949
1983, 1297765325.90273
1984, 1232932104.07276
1985, 1392196047.99695
1986, 1852163453.15326
1987, 2090629986.97643
1988, 2169040603.19394
1989, 2181821909.27892
1990, 2681912148.69842
1991, 2724131458.26216
1992, 2830673378.13006
1993, 2818281085.08646
1994, 2081846497.74648
1995, 2706425157.39397
1996, 2780422049.21204
1997, 2697105823.4661
1998, 2920358710.50646
1999, 3440724709.59258
2000, 2961484953.86444
2001, 3468337942.32064
2002, 3908121307.01957
2003, 4714071979.68835
2004, 5454249125.72966
2005, 6247515888.14533
2006, 6905934217.90901
2007, 8156468826.12645
2008, 9838403100.50555
2009, 10231962390.2119
2010, 10689168016.2613
2011, 12995112690.2596
2012, 12442035339.1049
2013, 13242690786.0938
2014, 14364937124.0727
2015, 13104764378.326
2016, 14026048335.7047
2017, 15365713048.1993
2018, 17070867589.9055
2019, 17280250810.0321
2020, 17465392764.3706
2021, 19309463508.0377
2022, 18827176529.6983
2023, nan
